codine,mun,indemnizaciones,indemnum,indemtxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29009,Almáchar,"3416,7",341670,"3.416,7",,,,"2210,82",,"44.511,8",,,"29663,53","175935,64","81955,02",,,8233,,"152815,38",,"166507,53","7985,42","10630,71",,"706,25",,"69721,28"
29035,Cañete la Real,"3317,2",331721,"3.317,2",,,,"41145,87",,,"2353,71",,"3914,54","11985,34",,"23704,85",,,,,,"12273,09",,,,,,"79939,8"
29087,Sedella,"3269,1",326911,"3.269,1",,,,,,,,,"938,37",,,"2667,93",,,,,,"1266,93",,,,,,"6376,7"
29047,Cuevas Bajas,"2994,3",299429,"2.994,3",,,,,,,,,,"26763,49",,,"11827,85",,,,,"26113,34",,,,,,"14908,35"
29064,Jubrique,"2889,6",288960,"2.889,6","3300,37","303873,8",3217546,"157291,95","52.206,7","174.554,4","382724,24","171178,5","131098,9","374062,5","15399,49","55044,06","8004,5","357796,54","50000,55","700564,03","66811,18","18259,83","16469,39","35039,92","38023,76","1285,32","17321,95","26881,34"
29001,Alameda,"2504,4",250444,"2.504,4","4596,33",,,,,,"176998,23","1959,31","8775,04","3981,18",,"46136,13",,,"27558,94",,,,,,,,,"40367,03"
29100,Yunquera,"2355,6",235561,"2.355,6",,,,,,,,,,"18753,65","7299,46",,,,,"98881,22",,,,,,,,
29033,Canillas de Aceituno,"1990,7",199068,"1.990,7",,,7782,"2823,28",,,,"1587,71","54593,79","12733,09",,"149939,5","664,99",,,"2057,82","513,07","763,45",,,,"3520,43",,"31999,87"
29005,Algarrobo,"1948,6",194858,"1.948,6","6507,33",,,,,,,,,,,"5513,42",,,,,,,,,,,,
29050,Cútar,"1629,3",162935,"1.629,3","2009507,5","131954,67",96970,"332497,7",,"206.368,9","13215,21","76387,07","83495,74","490407,86","24332,99","12428,23","3518,79","15755,46","60063,78","162113,99","97518,99","70563,16","281436,94","111573,03","2543,28","434,49","861,61","871474,82"
29083,Riogordo,"1542,1",154215,"1.542,1",,,,,,,,,"46299,48",,,,,,,,,"10235,11",,,,,,
29092,Totalán,"1487,3",148734,"1.487,3",,,,,,,,,,"5951,66",,"1714,12",,,"1231,46",,,,,,,,,
29065,Júzcar,"1289,3",128930,"1.289,3",,,,,,,,,"17040,15","4933,75",,,,,"7754,15",,,,,,,,,
29037,Cartajima,"1268,3",126826,"1.268,3",,,,,,,,,,,,"37920,45",,,,,,,"3938,63",,,,,"5917,18"
29086,Sayalonga,"1266,6",126662,"1.266,6","238577,79","63417,6",4909,"116689,76",,"317.634,9","57013,73","64358,38","16168,21","147286,13","5309,92","166147,5","11584,71","145230,03","17287,92","42606,26","17863,44","436618,53","153030,29","9975,61",,"17547,81",,"1025518,18"
29034,Canillas de Albaida,"1238,7",123867,"1.238,7","2153,52","1512,56",,,,,"186605,23","7562,96","332678,56","192853,57","9816,84","20388,13",,"12889,74","26550,76","56484,51",,"24309,38",,,"460,88","563,81",,"208318,85"
29003,Alfarnate,"1173,0",117299,"1.173,0",,,,,,"28.333,7","19915,33",,,,,"635,73",,,,,,"37819,25",,,,,,4022
29071,Moclinejo,"855,2",85516,"855,2",,,,,"2.500,8","44.406,1",,,,"5284,07",,"9746,28",,,,,"20383,88","242,75",,,,,,"7993,18"
29014,Alpandeire,"819,3",81931,"819,3",,,,"4632,57",,,"1905,9",,,,,"52412,27",,,,,"1155,89",,,,,,,
29098,Villanueva de Tapia,"651,9",65187,"651,9",,,,,,,,,,,,,,,,,,"8875,57",,,,"1980,62",,
29057,Genalguacil,"597,0",59703,"597,0",,,,,,,,,,,,,"1547,34","5342,73",,,,"2054,85",,,,,,
29074,Montejaque,"595,5",59553,"595,5",,,,,,,,,,,"23217,48","479,02",,,,,,,,,,,,"13315,05"
29066,Macharaviaya,"500,9",50086,"500,9",,"168,63",,,,,,"2837,62",,"16169,43",,"937,48",,,"10285,67",,,,,,,,,
29004,Alfarnatejo,"468,7",46875,"468,7",,,,,,,,,,2549,,,,,,,,"6199,28",,,,,,
29022,Benadalid,"460,9",46091,"460,9","1403,8",,,,,,,,"1718,09","1302,94",,,,,,,,,,,,,,"9867,83"
29029,Benarrabá,"452,3",45234,"452,3",,,,,,,,,,"780,89",,,,,"5123,26",,,,,,,,,
29006,Algatocín,"372,7",37271,"372,7",,,,,,,,,,"1370,7",,"12649,74",,,,,,,"1624,43",,,,,
29060,Igualeja,"370,7",37072,"370,7",,,,,,,,,,,,"6044,38",,,"404,15",,,13215,,,,,,
29030,El Borge,"364,5",36451,"364,5",,,,,,,,,,,,,,,"406,05",,,"598,79",,,,,,
29049,Cuevas de San Marcos,"351,9",35186,"351,9","1372,56",,,,,,"5995,01","1332,06",,"2064,14",,,,,"14532,48",,,"21469,64",,,,,,
29027,Benamocarra,"337,9",33786,"337,9",,,683,,,"2.638,3",,,,,,"2333,53",,,,,"2163,16","627,01",,,,,,
29016,Árchez,"246,0",24601,"246,0","2685,85",,,,,,,,,,,"3082,94",,,,,,,,,,,,"2339,77"
29081,Pujerra,"41,9",4187,"41,9",,,,,,,,,,,,,,,,,,"424,71",,,,,,
29048,Cuevas del Becerro,"17,7",1770,"17,7",,,,"2004,26",,,,,,,,"2876,76",,,"833,77",,,,,"1391,58",,,,"13417,49"
